level_indent,unique_key,sd_code,part_no,part_name,process,line_no,supplier,quantity
0,CA8-05,CA8-05,72504-X1B04,"ARM SUB-ASSY, RECLINING ADJUSTER, LH",Finish Good,IAI6,,
  1,CA8-S5,CA8-S5,7ZZZ3-X7A00,SELECT PARTS (FOR ASEAN),Link S/A,,,1.0
    2,SOB255,SOB255,72446-X1B00,"LINK, VERTICAL TRAVEL, NO.4",,,SOHBI,1.0
    2,MIT153,MIT153,72448-X1B01,"PIN, VERTICAL ADJUSTER, NO.2",,,THAI MITCHI,1.0
    2,OIL001,OIL001,72478-X1B02,"BUSH, VERTICAL ADJUSTER",,,OILES,1.0
    2,OIL003,OIL003,72478-X1B04,"BUSH, VERTICAL ADJUSTER",,,OILES,1.0
    2,CAP-06,CAP-06,72522-X1B02,"ARM, RECLINING ADJUSTER, LWR LH",1000T,,Inhouse(P),1.0
      3,TTC039,TTC039,SPC59-16529,SPC590 1.6 X 529 X C(P=130),,,,0.8638
      3,SUN002,SUN002,SUNS-484P,SUNPRESS S-484P(200L/1Pail),,,,0.0002
        4,KSP004,KSP004,ELECRON-E,ELECRON ADDITIVE E,Component,R1,THAI KANSAI,0.0004
        4,KSP001,KSP001,ELECRON-F1,ELECRON GT-10LF BLACK F1,Component,R1,THAI KANSAI,0.0012
        4,KSP002,KSP002,ELECRON-F2,ELECRON GT-10LF BLACK F2,Component,R1,THAI KANSAI,0.005
        4,KSP003,KSP003,ELECRON-N1,ELECRON ADDITIVE N1,Component,R1,THAI KANSAI,0.0004
        4,PAR011,PAR011,PALFOS-525TD,PALFOS PF525TD (PF-525TD) (20 Kg./1Can),Component,R1,THAI PARKERIZIING,0.001
          5,ETP-07,ETP-07,72141-X1V08,"BRACKET, FR OUTER SEAT TRACK, LWR FR RH",1000T,Coil,Inhouse(P),1.0
            6,TTC066,TTC066,SPH44-20347,SPH440-OD 2.0 X 347 X C(P=118)/2,Component,R1,TTAST,0.3215
,,,,,,,,0.0013
          5,MIT171,MIT171,72149-X1V10,"PIN, FR SEAT LOCATION",Component,R1,THAI MITCHI,1.0
          5,BWT001,BWT001,KISDM-KRC28,Kiswel-KR KC-28 1.2MM (300Kg P/Pack),Component,R1,BANGKOK WELDING,0.0036
          5,ETP-08,ETP-08,72142-X1V08,"BRACKET, FR OUTER SEAT TRACK, LWR FR LH",1000T,P01-1,Inhouse(P),1.0
            6,TTC066,TTC066,SPH44-20347,SPH440-OD 2.0 X 347 X C(P=118)/2,Component,R1,TTAST,0.3215
,,,,,,,,0.0013
    2,MIT253,MIT253,7S001-X7A00,"LINK SUB-ASSY, FR MNL SEAT LIFTER, FR 1",,,THAI MITCHI,1.0
      3,SOB252,SOB252,72441-X1B01,"LINK, VERTICAL TRAVEL, NO.1",,,SOHBI,1.0
      3,MIT152,MIT152,72447-X1B01,"PIN, VERTICAL ADJUSTER, NO.1",,,THAI MITCHI,1.0
      3,OIL001,OIL001,72478-X1B02,"BUSH, VERTICAL ADJUSTER",,,OILES,2.0
    2,BTS062,BTS062,89978-X1B01,"WASHER, PLATE",,,BTS,1.0
    2,AOY008,AOY008,90174-10025,"NUT, WELD",,,AOYAMA,2.0
,,,,,,,,
0,CA8-11,CA8-11,72503-X1M04,"ARM SUB-ASSY, RECLINING ADJUSTER, RH",Finish Good,IA8,,
  1,BTS068,BTS068,71362-X1C00,"BRACKET, FR SEAT SET, NO.2",Component,R1,BTS,1.0
  1,SOB286,SOB286,71363-X1C00,"BRACKET, FR SEAT SET, NO.3",Component,R1,SOHBI,1.0
  1,BTS065,BTS065,72439-X1C00,"PLATE, FR SEAT ADJUSTER, LH",Component,R1,BTS,1.0
  1,MIT156,MIT156,72449-X1C00,"PIN, VERTICAL ADJUSTER, NO.3",Component,R1,THAI MITCHI,1.0
  1,MIT157,MIT157,72468-X1C00,"PIN, VERTICAL ADJUSTER, NO.5",,,THAI MITCHI,1.0
  1,OIL003,OIL003,72478-X1B04,"BUSH, VERTICAL ADJUSTER",,,OILES,1.0
